,Forecast,Time,Temp[°C],MSLP[hPa],RH[%],Rain rate[mm.]
0,25MAR2019:,00UTC,28.9,1010.8,79,0
1,25MAR2019:,03UTC,31.8,1012.1,69,0
2,25MAR2019:,06UTC,Requ,Reques,Re,Requ
3,25MAR2019:,09UTC,Requ,Reques,Re,Requ
4,25MAR2019:,12UTC,Requ,Reques,Re,Requ
5,25MAR2019:,15UTC,Requ,Reques,Re,Requ
6,25MAR2019:,18UTC,Requ,Reques,Re,Requ
7,25MAR2019:,21UTC,Requ,Reques,Re,Requ
8,26MAR2019:,00UTC,Requ,Reques,Re,Requ
9,,,,,,
