Forecast,Time,Temp[?C],MSLP[hPa],RH[%],Rain rate[mm.]
25MAR2019:,00UTC,27.3,1010.7,78,0
25MAR2019:,03UTC,32.0,1012.2,65,0
25MAR2019:,06UTC,33.7,1010.8,56,0
25MAR2019:,09UTC,32.7,1008.9,57,0
25MAR2019:,12UTC,30.1,1010.3,75,0
25MAR2019:,15UTC,29.4,1011.8,72,0
25MAR2019:,18UTC,28.8,1011.3,72,0
25MAR2019:,21UTC,Requ,Reques,Re,Requ
26MAR2019:,00UTC,Requ,Reques,Re,Requ
