Forecast,Time,Temp[?C],MSLP[hPa],RH[%],Rain rate[mm.]
25MAR2019:,00UTC,28.0,1010.7,72,0
25MAR2019:,03UTC,31.9,1012.2,65,0
25MAR2019:,06UTC,34.6,1010.4,48,0
25MAR2019:,09UTC,33.2,1008.8,54,0
25MAR2019:,12UTC,29.3,1010.2,64,0
25MAR2019:,15UTC,30.3,1011.7,72,0
25MAR2019:,18UTC,29.8,1011.2,68,0
25MAR2019:,21UTC,Requ,Reques,Re,Requ
26MAR2019:,00UTC,Requ,Reques,Re,Requ
